employeeId,dept_no,from_date,to_date
1050,d017,2024-10-20,9999-01-01
1051,d013,2021-11-26,9999-01-01
1052,d014,2021-02-27,2024-09-13
1053,d015,2021-01-04,2021-03-09
1054,d015,2021-03-03,9999-01-01
1055,d020,2020-12-30,9999-01-01
1056,d010,2020-05-06,2022-09-03
1057,d014,2022-02-24,9999-01-01
1058,d012,2020-01-01,2022-11-27
1059,d013,2021-01-23,9999-01-01
1060,d010,2021-11-03,9999-01-01
1061,d013,2024-01-09,9999-01-01
1062,d019,2023-02-15,9999-01-01
1063,d019,2023-08-12,2024-09-25
1064,d016,2022-06-14,9999-01-01
1065,d015,2024-04-13,2024-08-18
1066,d013,2020-06-21,2023-08-12
1067,d017,2024-02-07,2024-08-11
1068,d018,2021-10-18,2024-04-16
1069,d011,2021-06-04,9999-01-01
1070,d019,2021-04-07,9999-01-01
1071,d018,2023-06-09,9999-01-01
1072,d010,2020-10-19,9999-01-01
1073,d016,2024-09-16,9999-01-01
1074,d012,2021-02-15,9999-01-01
1075,d018,2022-06-04,9999-01-01
1076,d019,2022-09-25,9999-01-01
1077,d015,2023-10-10,9999-01-01
1078,d013,2019-11-23,9999-01-01
1079,d013,2022-04-18,2023-01-14
1080,d019,2020-05-19,9999-01-01
1081,d014,2024-09-18,2024-09-20
1082,d016,2023-12-18,2024-06-18
1083,d019,2020-01-08,9999-01-01
1084,d012,2022-01-04,2022-11-24
1085,d018,2021-10-08,9999-01-01
1086,d019,2024-07-10,9999-01-01
1087,d013,2022-09-11,9999-01-01
1088,d010,2024-01-24,9999-01-01
1089,d010,2022-02-21,9999-01-01
1090,d012,2021-06-29,2021-08-12
1091,d016,2020-07-23,2023-08-23
1092,d017,2022-06-30,9999-01-01
1093,d015,2020-03-11,9999-01-01
1094,d015,2023-10-14,9999-01-01
1095,d013,2024-07-19,2024-08-13
1096,d018,2022-08-18,9999-01-01
1097,d019,2022-08-02,9999-01-01
1098,d018,2021-11-26,9999-01-01
1099,d010,2020-08-11,9999-01-01
1100,d010,2021-04-14,9999-01-01
1101,d012,2023-12-31,9999-01-01
1102,d017,2021-07-25,2022-11-26
1103,d019,2020-09-20,9999-01-01
1104,d011,2020-01-16,9999-01-01
1105,d015,2022-11-14,9999-01-01
1106,d018,2023-05-06,9999-01-01
1107,d011,2024-01-06,2024-10-18
1108,d017,2021-08-31,2021-12-20
1109,d019,2022-09-10,9999-01-01
1110,d015,2023-05-18,2024-08-07
1111,d015,2022-06-04,9999-01-01
1112,d019,2023-03-11,9999-01-01
1113,d019,2020-08-04,9999-01-01
1114,d010,2021-04-19,2021-11-29
1115,d012,2021-05-09,9999-01-01
1116,d019,2021-07-09,9999-01-01
1117,d020,2020-03-19,2022-12-27
1118,d014,2022-06-04,9999-01-01
1119,d011,2023-12-08,9999-01-01
1120,d011,2023-06-10,2023-11-04
1121,d014,2020-12-02,2022-01-21
1122,d017,2022-05-19,2022-06-15
1123,d020,2024-07-06,9999-01-01
1124,d014,2021-08-15,9999-01-01
1125,d015,2023-02-20,9999-01-01
1126,d016,2019-12-01,9999-01-01
1127,d016,2023-08-30,2023-10-19
1128,d012,2022-06-09,2023-01-26
1129,d012,2021-08-30,2024-10-28
1130,d015,2021-07-18,2024-07-11
1131,d012,2023-01-11,9999-01-01
1132,d010,2020-12-26,2021-08-02
1133,d018,2023-07-11,9999-01-01
1134,d011,2020-06-13,2023-05-31
1135,d018,2023-11-11,9999-01-01
1136,d020,2020-12-12,9999-01-01
1137,d011,2023-11-09,9999-01-01
1138,d020,2024-10-19,9999-01-01
1139,d015,2022-03-11,9999-01-01
1140,d011,2024-02-23,2024-09-29
1141,d016,2023-05-24,9999-01-01
1142,d015,2023-10-08,2024-06-05
1143,d017,2022-05-26,9999-01-01
1144,d014,2021-11-22,9999-01-01
1145,d013,2021-09-28,2024-09-26
1146,d016,2022-07-25,9999-01-01
1147,d012,2023-04-28,2024-04-25
1148,d020,2021-03-15,9999-01-01
1149,d014,2021-11-11,2024-03-26
1150,d017,2022-02-17,9999-01-01
