emp_no,dept_no,from_date,to_date
500000,d008,1986-06-26,2002-05-19
500001,d009,1986-06-26,2060-10-29
500002,d010,1986-06-26,2079-09-11
500003,d011,1986-06-26,2029-04-28
500004,d012,1986-06-26,2021-12-17
500005,d013,1986-06-26,2005-10-30
500006,d014,1986-06-26,2018-07-20
500007,d015,1986-06-26,2086-02-16
500008,d016,1986-06-26,1991-09-07
500009,d017,1986-06-26,2051-01-20
500010,d008,1986-06-26,2069-09-18
500011,d009,1986-06-26,2084-06-12
500012,d010,1986-06-26,2079-05-27
500013,d011,1986-06-26,2069-09-21
500014,d012,1986-06-26,2046-07-28
500015,d013,1986-06-26,2075-12-31
500016,d014,1986-06-26,2073-06-23
500017,d015,1986-06-26,2036-07-27
500018,d016,1986-06-26,2018-08-01
500019,d017,1986-06-26,2045-11-08
500020,d008,1986-06-26,2038-08-12
500021,d009,1986-06-26,2043-01-23
500022,d010,1986-06-26,2006-03-26
500023,d011,1986-06-26,2074-05-30
500024,d012,1986-06-26,2091-01-01
500025,d013,1986-06-26,1991-01-14
500026,d014,1986-06-26,2020-03-11
500027,d015,1986-06-26,2078-04-12
500028,d016,1986-06-26,2090-12-16
500029,d017,1986-06-26,2077-01-10
500030,d008,1986-06-26,2055-06-05
500031,d009,1986-06-26,2098-11-17
500032,d010,1986-06-26,2018-05-08
500033,d011,1986-06-26,2071-11-28
500034,d012,1986-06-26,2073-09-30
500035,d013,1986-06-26,2095-06-25
500036,d014,1986-06-26,2059-02-16
500037,d015,1986-06-26,2084-10-31
500038,d016,1986-06-26,2082-08-26
500039,d017,1986-06-26,2067-02-11
500040,d008,1986-06-26,2011-04-23
500041,d009,1986-06-26,2070-03-01
500042,d010,1986-06-26,2044-08-02
500043,d011,1986-06-26,2007-04-12
500044,d012,1986-06-26,2074-04-18
500045,d013,1986-06-26,2093-01-28
500046,d014,1986-06-26,2050-02-24
500047,d015,1986-06-26,2028-06-05
500048,d016,1986-06-26,2033-07-25
500049,d017,1986-06-26,2019-05-24
500050,d008,1986-06-26,2081-05-04
500051,d009,1986-06-26,1994-11-06
500052,d010,1986-06-26,2078-11-10
500053,d011,1986-06-26,2086-07-02
500054,d012,1986-06-26,2066-10-09
500055,d013,1986-06-26,1998-10-02
500056,d014,1986-06-26,2060-01-15
500057,d015,1986-06-26,2063-11-25
500058,d016,1986-06-26,2033-04-02
500059,d017,1986-06-26,2054-08-31
500060,d008,1986-06-26,2078-10-27
500061,d009,1986-06-26,2008-02-07
500062,d010,1986-06-26,2066-07-14
500063,d011,1986-06-26,2061-04-22
500064,d012,1986-06-26,2067-08-28
500065,d013,1986-06-26,2040-02-27
500066,d014,1986-06-26,2003-11-05
500067,d015,1986-06-26,2070-04-01
500068,d016,1986-06-26,2009-12-19
500069,d017,1986-06-26,2052-04-21
500070,d008,1986-06-26,2016-01-01
500071,d009,1986-06-26,2068-10-08
500072,d010,1986-06-26,2060-05-12
500073,d011,1986-06-26,2078-01-17
500074,d012,1986-06-26,2016-01-30
500075,d013,1986-06-26,2066-11-19
500076,d014,1986-06-26,2039-02-01
500077,d015,1986-06-26,1990-04-06
500078,d016,1986-06-26,2043-08-06
500079,d017,1986-06-26,2014-10-01
500080,d008,1986-06-26,1995-03-19
500081,d009,1986-06-26,1998-07-10
500082,d010,1986-06-26,1997-12-30
500083,d011,1986-06-26,2002-03-04
500084,d012,1986-06-26,2072-01-03
500085,d013,1986-06-26,2032-03-21
500086,d014,1986-06-26,2088-06-16
500087,d015,1986-06-26,2032-10-06
500088,d016,1986-06-26,2027-02-13
500089,d017,1986-06-26,2028-05-04
500090,d008,1986-06-26,2039-02-06
500091,d009,1986-06-26,1996-06-09
500092,d010,1986-06-26,2098-11-19
500093,d011,1986-06-26,2014-01-28
500094,d012,1986-06-26,2074-08-25
500095,d013,1986-06-26,1992-06-19
500096,d014,1986-06-26,2059-09-09
500097,d015,1986-06-26,2018-10-07
500098,d016,1986-06-26,1990-09-28
500099,d017,1986-06-26,2064-08-03
