employeeId,dept_no,from_date,to_date
1000,d013,2010-11-07,2014-12-08
1001,d019,2017-01-12,2022-11-03
1002,d014,2012-03-31,2017-04-24
1003,d018,2016-02-09,2018-10-25
1004,d012,2017-03-17,2024-04-25
1005,d019,2016-10-29,2018-01-21
1006,d013,2014-03-01,2016-12-13
1007,d013,2011-09-23,2018-09-14
1008,d016,2012-07-11,2019-08-24
1009,d015,2013-06-11,2021-02-09
1010,d019,2017-06-14,2021-01-23
1011,d013,2013-12-30,2015-11-29
1012,d016,2013-02-04,2017-12-08
1013,d019,2013-08-16,2019-10-22
1014,d017,2014-04-16,2017-04-22
1015,d011,2013-03-19,2020-06-12
1016,d018,2012-11-21,2019-05-27
1017,d012,2017-07-25,2025-10-02
1018,d014,2015-08-31,2018-07-19
1019,d014,2018-01-04,2025-01-04
1020,d019,2017-04-30,2018-07-30
1021,d016,2010-12-26,2016-05-17
1022,d017,2015-08-29,2019-12-24
1023,d014,2012-12-16,2019-07-02
1024,d011,2012-06-28,2019-01-17
1025,d011,2015-05-27,2022-06-08
1026,d017,2012-09-28,2016-06-01
1027,d015,2017-01-30,2025-03-27
1028,d016,2015-11-27,2019-03-17
1029,d017,2016-01-01,2017-03-07
1030,d016,2011-11-23,2014-05-31
1031,d014,2012-11-06,2016-12-24
1032,d013,2016-07-28,2022-04-24
1033,d014,2010-04-24,2013-12-30
1034,d014,2015-01-20,2020-03-28
1035,d015,2016-06-21,2020-05-04
1036,d010,2018-01-26,2021-09-04
1037,d015,2011-10-12,2016-10-09
1038,d018,2015-11-12,2021-10-02
1039,d013,2012-05-21,2020-01-12
1040,d013,2013-05-07,2020-08-19
1041,d016,2014-06-09,2020-10-19
1042,d012,2010-07-11,2014-11-06
1043,d013,2017-08-25,2024-10-16
1044,d010,2013-03-04,2016-06-22
1045,d012,2014-04-27,2022-06-18
1046,d016,2015-10-25,2019-01-20
1047,d010,2014-11-13,2019-04-06
1048,d010,2011-04-26,2014-03-08
1049,d015,2013-10-27,2015-02-20
1050,d017,2014-08-03,2019-04-11
1051,d016,2014-06-09,2018-03-01
1052,d018,2014-08-03,2019-08-02
1053,d013,2016-07-19,2022-05-15
1054,d016,2017-01-12,2019-01-05
1055,d019,2017-04-20,2021-11-21
1056,d015,2017-09-01,2024-02-09
1057,d013,2016-04-25,2023-04-14
1058,d017,2015-08-08,2022-01-22
1059,d015,2017-07-03,2021-05-05
1060,d019,2012-01-12,2019-11-07
1061,d019,2014-05-06,2016-09-11
1062,d013,2016-08-05,2018-05-23
1063,d017,2013-07-18,2019-05-20
1064,d015,2010-04-21,2014-11-16
1065,d013,2015-11-10,2021-10-10
1066,d016,2011-12-18,2018-02-16
1067,d011,2017-09-08,2022-02-10
1068,d018,2015-10-13,2023-10-09
1069,d016,2011-07-23,2016-09-10
1070,d017,2011-12-07,2014-04-01
1071,d010,2011-10-12,2014-08-18
1072,d012,2013-04-12,2015-04-26
1073,d011,2013-05-27,2016-01-02
1074,d014,2017-10-21,2020-07-02
1075,d019,2014-08-29,2021-05-20
1076,d019,2014-05-20,2018-09-02
1077,d010,2012-03-21,2020-02-25
1078,d010,2010-12-26,2014-02-07
1079,d012,2014-08-15,2022-04-02
1080,d016,2012-03-22,2016-04-28
1081,d011,2016-01-10,2018-10-16
1082,d011,2017-10-21,2022-03-11
1083,d015,2016-06-27,2018-08-24
1084,d016,2016-10-25,2024-04-13
1085,d014,2010-02-24,2014-12-22
1086,d017,2010-06-28,2017-01-13
1087,d018,2014-09-05,2016-04-19
1088,d017,2010-11-10,2012-12-13
1089,d018,2016-11-25,2023-03-23
1090,d013,2014-11-24,2019-07-28
1091,d011,2013-04-22,2020-06-19
1092,d017,2011-06-28,2016-03-15
1093,d016,2011-07-22,2014-03-24
1094,d017,2016-05-24,2019-06-04
1095,d013,2010-07-17,2015-10-12
1096,d013,2014-09-30,2022-08-19
1097,d018,2013-05-08,2016-11-29
1098,d013,2013-11-18,2019-07-31
1099,d016,2013-01-30,2019-04-18
