emp_no,dept_no,from_date,to_date
500001,d010,2020-03-15,9999-01-01
500002,d011,2019-07-12,9999-01-01
500003,d012,2021-01-10,9999-01-01
500004,d013,2018-05-21,9999-01-01
500005,d014,2017-10-04,9999-01-01
500006,d015,2022-03-09,9999-01-01
500007,d016,2020-08-23,9999-01-01
500008,d017,2016-12-15,9999-01-01
500009,d018,2019-05-17,9999-01-01
500010,d019,2021-04-02,9999-01-01
500011,d020,2017-09-13,9999-01-01
500012,d010,2018-01-29,9999-01-01
500013,d011,2019-10-20,9999-01-01
500014,d012,2022-06-07,9999-01-01
500015,d013,2016-11-05,9999-01-01
500016,d014,2020-02-22,9999-01-01
500017,d015,2019-09-09,9999-01-01
500018,d016,2021-03-18,9999-01-01
500019,d017,2018-04-24,9999-01-01
500020,d018,2017-12-30,9999-01-01
500021,d019,2020-11-20,9999-01-01
500022,d020,2019-01-14,9999-01-01
500023,d010,2022-02-27,9999-01-01
500024,d011,2018-08-08,9999-01-01
500025,d012,2020-06-05,9999-01-01
500026,d013,2019-04-19,9999-01-01
500027,d014,2021-07-22,9999-01-01
500028,d015,2017-01-25,9999-01-01
500029,d016,2019-06-30,9999-01-01
500030,d017,2018-09-03,9999-01-01
500031,d018,2022-01-20,9999-01-01
500032,d019,2020-05-15,9999-01-01
500033,d020,2021-02-28,9999-01-01
500034,d010,2019-08-25,9999-01-01
500035,d011,2018-11-12,9999-01-01
500036,d012,2020-07-11,9999-01-01
500037,d013,2017-04-14,9999-01-01
500038,d014,2016-10-29,9999-01-01
500039,d015,2022-03-03,9999-01-01
500040,d016,2018-05-09,9999-01-01
500041,d017,2019-03-12,9999-01-01
500042,d018,2017-06-25,9999-01-01
500043,d019,2020-09-16,9999-01-01
500044,d020,2021-01-05,9999-01-01
500045,d010,2018-11-08,9999-01-01
500046,d011,2019-07-21,9999-01-01
500047,d012,2022-05-12,9999-01-01
500048,d013,2018-08-16,9999-01-01
500049,d014,2017-04-20,9999-01-01
500050,d015,2019-05-18,9999-01-01
500051,d016,2020-11-25,9999-01-01
500052,d017,2021-03-30,9999-01-01
500053,d018,2018-12-15,9999-01-01
500054,d019,2019-09-02,9999-01-01
500055,d020,2017-08-07,9999-01-01
500056,d010,2020-02-17,9999-01-01
500057,d011,2018-01-19,9999-01-01
500058,d012,2019-10-22,9999-01-01
500059,d013,2021-04-28,9999-01-01
500060,d014,2022-07-10,9999-01-01
500061,d015,2016-06-05,9999-01-01
500062,d016,2021-06-22,9999-01-01
500063,d017,2017-12-04,9999-01-01
500064,d018,2019-02-13,9999-01-01
500065,d019,2018-05-06,9999-01-01
500066,d020,2020-01-09,9999-01-01
500067,d010,2016-08-18,9999-01-01
500068,d011,2017-10-13,9999-01-01
500069,d012,2018-04-27,9999-01-01
500070,d013,2021-12-31,9999-01-01
500071,d014,2019-11-01,9999-01-01
500072,d015,2020-08-29,9999-01-01
500073,d016,2017-09-26,9999-01-01
500074,d017,2019-03-10,9999-01-01
500075,d018,2022-02-06,9999-01-01
500076,d019,2018-11-19,9999-01-01
500077,d020,2017-03-15,9999-01-01
500078,d010,2020-10-14,9999-01-01
500079,d011,2021-05-24,9999-01-01
500080,d012,2019-07-05,9999-01-01
500081,d013,2018-01-02,9999-01-01
500082,d014,2020-06-11,9999-01-01
500083,d015,2019-01-30,9999-01-01
500084,d016,2016-12-19,9999-01-01
500085,d017,2021-09-07,9999-01-01
500086,d018,2018-04-18,9999-01-01
500087,d019,2019-05-29,9999-01-01
500088,d020,2020-03-22,9999-01-01
500089,d010,2017-10-20,9999-01-01
500090,d011,2022-03-15,9999-01-01
500091,d012,2021-07-25,9999-01-01
500092,d013,2018-09-16,9999-01-01
500093,d014,2019-02-04,9999-01-01
500094,d015,2020-12-30,9999-01-01
500095,d016,2017-06-15,9999-01-01
500096,d017,2019-08-08,9999-01-01
500097,d018,2020-04-04,9999-01-01
500098,d019,2021-03-03,9999-01-01
500099,d020,2016-09-17,9999-01-01
500100,d010,2018-06-20,9999-01-01
500101,d011,2021-07-15,9999-01-01
500102,d012,2020-12-04,9999-01-01
500103,d013,2018-05-20,9999-01-01
500104,d014,2019-11-21,9999-01-01
500105,d015,2020-09-10,9999-01-01
500106,d016,2022-03-19,9999-01-01
500107,d017,2019-06-23,9999-01-01
500108,d018,2021-10-01,9999-01-01
500109,d019,2017-04-12,9999-01-01
500110,d020,2020-08-28,9999-01-01
500111,d010,2018-11-07,9999-01-01
500112,d011,2017-03-09,9999-01-01
500113,d012,2019-02-22,9999-01-01
500114,d013,2021-06-03,9999-01-01
500115,d014,2020-03-15,9999-01-01
500116,d015,2019-12-19,9999-01-01
500117,d016,2017-09-05,9999-01-01
500118,d017,2020-01-25,9999-01-01
500119,d018,2021-02-12,9999-01-01
500120,d019,2018-08-03,9999-01-01
