emp_no,dept_no,from_date,to_date
10501,d010,2015-06-25,2027-05-18
10502,d014,2014-03-12,2026-10-02
10503,d011,2016-09-10,2025-02-23
10504,d017,2013-02-18,2026-01-15
10505,d018,2017-04-02,2028-02-19
10506,d019,2015-01-19,2026-06-28
10507,d010,2012-10-30,2025-09-01
10508,d015,2014-08-17,2027-06-19
10509,d012,2016-03-29,2028-09-30
10510,d013,2019-11-10,2026-12-21
10511,d017,2018-07-22,2029-07-02
10512,d014,2020-06-15,2027-03-01
10513,d019,2013-04-12,2028-07-15
10514,d018,2017-09-09,2026-09-18
10515,d012,2016-05-05,2028-11-09
10516,d015,2019-01-23,2029-01-11
10517,d016,2015-11-11,2027-10-19
10518,d019,2018-03-06,2029-04-03
10519,d010,2014-07-19,2027-07-21
10520,d014,2019-09-13,2026-04-28
10521,d013,2016-12-09,2028-01-14
10522,d017,2012-01-15,2029-02-01
10523,d015,2017-11-20,2027-10-28
10524,d014,2014-02-07,2025-11-17
10525,d019,2015-09-04,2026-07-22
10526,d018,2019-03-15,2027-12-20
10527,d016,2016-06-02,2028-08-12
10528,d010,2020-08-19,2027-04-10
10529,d012,2012-04-26,2025-06-29
10530,d017,2017-01-30,2028-02-24
10531,d015,2014-09-02,2027-06-04
10532,d014,2018-07-13,2029-05-21
10533,d019,2015-03-23,2026-01-15
10534,d012,2019-10-01,2026-11-05
10535,d019,2013-06-16,2026-04-30
10536,d016,2017-12-19,2028-09-24
10537,d018,2014-12-15,2029-01-01
10538,d013,2020-01-22,2027-09-19
10539,d014,2016-05-02,2028-03-06
10540,d019,2019-02-09,2027-12-01
10541,d012,2018-10-14,2029-05-25
10542,d016,2015-07-24,2027-11-04
10543,d010,2017-05-20,2028-01-17
10544,d019,2012-12-28,2025-03-05
10545,d014,2018-08-06,2026-11-23
10546,d017,2013-01-25,2028-07-02
10547,d016,2017-05-11,2028-10-13
10548,d019,2019-06-17,2028-01-05
10549,d013,2014-12-02,2026-02-14
10550,d017,2016-04-19,2027-09-08
10551,d019,2017-02-13,2029-03-02
10552,d014,2016-11-25,2027-09-18
10553,d017,2019-11-02,2027-10-07
10554,d015,2015-07-13,2028-05-22
10555,d018,2020-09-30,2027-04-21
10556,d010,2014-04-21,2026-12-17
10557,d017,2017-01-04,2028-02-19
10558,d016,2013-08-30,2026-07-15
10559,d010,2016-07-24,2028-10-13
10560,d015,2019-05-05,2027-01-02
10561,d019,2015-12-11,2028-09-11
10562,d016,2016-03-02,2027-08-30
10563,d018,2017-10-10,2028-11-16
10564,d014,2019-08-15,2026-12-29
10565,d016,2018-12-12,2029-05-14
10566,d012,2015-11-18,2027-06-26
10567,d010,2017-09-29,2028-04-03
10568,d017,2014-01-19,2025-11-27
10569,d014,2016-07-07,2029-01-20
10570,d012,2019-10-04,2028-01-17
10571,d016,2018-02-03,2027-05-23
10572,d017,2015-04-30,2026-08-14
10573,d010,2017-08-26,2028-06-07
10574,d016,2019-07-16,2027-03-04
10575,d018,2020-02-14,2027-11-10
10576,d019,2018-01-13,2029-04-02
10577,d013,2013-09-04,2026-10-23
10578,d010,2016-11-06,2027-07-12
10579,d012,2017-02-01,2029-01-21
10580,d018,2019-01-28,2027-05-01
10581,d016,2014-12-15,2026-11-08
10582,d015,2017-06-05,2028-09-17
10583,d017,2020-03-03,2027-11-21
10584,d019,2016-09-12,2029-03-12
10585,d010,2017-05-23,2028-08-13
10586,d012,2019-09-26,2027-06-06
10587,d016,2014-04-05,2026-10-29
10588,d017,2019-01-09,2027-07-22
10589,d015,2016-11-15,2029-01-07
10590,d010,2020-08-30,2027-12-11
10591,d019,2018-03-03,2029-08-09
10592,d017,2015-07-07,2026-01-24
10593,d018,2014-05-30,2026-09-28
10594,d012,2017-11-10,2029-04-25
10595,d015,2019-05-17,2027-09-14
10596,d014,2016-12-05,2029-03-04
10597,d018,2015-04-02,2027-07-14
10598,d016,2018-06-10,2028-12-23
10599,d010,2016-10-01,2029-02-19
10600,d015,2020-02-26,2027-11-04
