emp_no,dept_no,from_date,to_date
2000,d010,2011-05-01,2022-04-01
2001,d011,2012-07-15,2023-06-30
2002,d012,2013-09-20,2024-08-25
2003,d013,2014-11-10,2025-10-05
2004,d014,2015-12-15,2026-10-23
2005,d015,2016-01-20,2027-12-30
2006,d016,2017-03-25,2028-02-28
2007,d017,2018-05-30,2029-04-18
2008,d018,2019-07-25,2030-06-10
2009,d019,2020-09-30,2031-08-20
2010,d010,2021-11-05,2032-10-25
2011,d011,2022-01-10,2033-12-30
2012,d012,2023-03-15,2034-02-15
2013,d013,2024-05-20,2035-04-20
2014,d014,2025-07-25,2036-06-20
2015,d015,2026-09-30,2037-08-30
2016,d016,2027-12-05,2038-11-05
2017,d017,2028-02-10,2039-01-10
2018,d018,2029-04-15,2040-03-15
2019,d019,2030-06-20,2041-05-20
2020,d010,2031-08-25,2042-07-25
2021,d011,2032-10-30,2043-09-30
2022,d012,2033-01-05,2044-12-05
2023,d013,2034-03-10,2045-02-10
2024,d014,2035-05-15,2046-04-15
2025,d015,2036-07-20,2047-06-20
2026,d016,2037-09-25,2048-08-25
2027,d017,2038-12-01,2049-11-01
2028,d018,2039-02-05,2050-01-05
2029,d019,2040-04-10,2051-03-10
2030,d010,2041-06-15,2052-05-15
2031,d011,2042-08-20,2053-07-20
2032,d012,2043-10-25,2054-09-25
2033,d013,2045-01-10,2056-12-10
2034,d014,2046-03-15,2057-02-15
2035,d015,2047-05-20,2058-04-20
2036,d016,2048-07-25,2059-06-25
2037,d017,2049-09-30,2060-08-30
2038,d018,2050-12-05,2061-11-05
2039,d019,2052-02-10,2063-01-10
2040,d010,2053-04-15,2064-03-15
2041,d011,2054-06-20,2065-05-20
2042,d012,2055-08-25,2066-07-25
2043,d013,2056-10-30,2067-09-30
2044,d014,2058-01-05,2069-12-05
2045,d015,2059-03-10,2070-02-10
2046,d016,2060-05-15,2071-04-15
2047,d017,2061-07-20,2072-06-20
2048,d018,2062-09-25,2073-08-25
2049,d019,2063-12-01,2074-11-01
2051,d010,2011-05-01,2022-04-01
2052,d011,2012-07-15,2023-06-30
2053,d012,2013-09-20,2024-08-25
2054,d013,2014-11-10,2025-10-05
2055,d014,2015-12-15,2026-11-23
2056,d015,2016-01-20,2027-12-30
2057,d016,2017-03-25,2028-02-28
2058,d017,2018-05-30,2029-04-18
2059,d018,2019-07-25,2030-06-10
2060,d019,2020-09-30,2031-08-20
2061,d010,2021-11-05,2032-10-25
2062,d011,2022-01-10,2033-12-30
2063,d012,2023-03-15,2034-02-15
2064,d013,2024-05-20,2035-04-20
2065,d014,2025-07-25,2036-06-20
2066,d015,2026-09-30,2037-08-30
2067,d016,2027-12-05,2038-11-05
2068,d017,2028-02-10,2039-01-10
2069,d018,2029-04-15,2040-03-15
2070,d019,2030-06-20,2041-05-20
2071,d010,2031-08-25,2042-07-25
2072,d011,2032-10-30,2043-09-30
2073,d012,2033-01-05,2044-12-05
2074,d013,2034-03-10,2045-02-10
2075,d014,2035-05-15,2046-04-15
2076,d015,2036-07-20,2047-06-20
2077,d016,2037-09-25,2048-08-25
2078,d017,2038-12-01,2049-11-01
2079,d018,2039-02-05,2050-01-05
2080,d019,2040-04-10,2051-03-10
2081,d010,2041-06-15,2052-05-15
2082,d011,2042-08-20,2053-07-20
2083,d012,2043-10-25,2054-09-25
2084,d013,2045-01-10,2056-12-10
2085,d014,2046-03-15,2057-02-15
2086,d015,2047-05-20,2058-04-20
2087,d016,2048-07-25,2059-06-25
2088,d017,2049-09-30,2060-08-30
2089,d018,2050-12-05,2061-11-05
2090,d019,2052-02-10,2063-01-10
2091,d010,2053-04-15,2064-03-15
2092,d011,2054-06-20,2065-05-20
2093,d012,2055-08-25,2066-07-25
2094,d013,2056-10-30,2067-09-30
2095,d014,2058-01-05,2069-12-05
2096,d015,2059-03-10,2070-02-10
2097,d016,2060-05-15,2071-04-15
2098,d017,2061-07-20,2072-06-20
2099,d018,2062-09-25,2073-08-25
