dept_no,dept_name
d010,Human Resources - Head Office
d011,Accounting & Finance - New York
d012,Legal Department - Toronto
d013,Marketing & Sales - Los Angeles
d014,IT Support & Development - Vancouver
d015,Operations & Logistics - Chicago
d016,Executive Management - San Francisco
d017,Research & Development - Houston
d018,Customer Service - Dallas
d019,Public Relations - Miami
d020,International Sales - London
d021,Administrative Services - Berlin
d022,Strategic Planning - Paris
d023,Production - Beijing
d024,Quality Assurance - Tokyo
d025,Human Resources - Sydney
d026,Finance & Accounting - Toronto 2
d027,Legal Assistants - Miami Dade
d028,Sales & Trading - London City
d029,IT Operations - Bangalore
d030,Customer Experience - Taipei
d031,Marketing Analytics - Buenos Aires
d032,Local Operations - Moscow
d033,New Business Development - Johannesburg
